#Date,Open,High,Low,Close,Volume,Adj Close
2013/10/29,2135.23,2163.66,2093.2,2128.86,143092811,1.17348E+11
2013/10/30,2126.69,2161.94,2121.84,2160.46,119643362,95233753088
2013/10/31,2155.51,2155.51,2137.47,2141.61,108063020,88638832640
2013/11/1,2139.88,2157.31,2132.63,2149.56,89118477,76271861760
2013/11/4,2156.09,2160.58,2143.21,2149.63,76147941,66305998848
2013/11/5,2139.84,2158.15,2124.85,2157.24,91900031,77963321344
2013/11/6,2149.39,2166.17,2138.78,2139.61,100487344,86547128320
2013/11/7,2136.63,2141.6,2119.19,2129.4,81842610,70177472512
2013/11/8,2120.92,2128.58,2103.51,2106.13,83096859,70325215232
2013/11/11,2103.3,2117.28,2093.63,2109.47,69678299,59934060544
2013/11/12,2110.72,2127.94,2108.4,2126.77,79446731,67951267840
2013/11/13,2117.89,2117.91,2086.01,2087.94,88257094,73376063488
2013/11/14,2087.12,2102.38,2078.99,2100.51,83799373,72089886720
2013/11/15,2100.9,2153.21,2100.79,2135.83,125894520,1.13364E+11
2013/11/18,2147.37,2198.32,2143.77,2197.22,157502714,1.43246E+11
2013/11/19,2198.32,2203.3,2186.11,2193.13,125082307,1.15942E+11
2013/11/20,2201.47,2207.11,2186.64,2206.61,118961861,1.0482E+11
2013/11/21,2197.01,2206.53,2177.74,2205.77,137245516,1.20005E+11
2013/11/22,2206.47,2211.07,2188.77,2196.38,113866457,1.0245E+11
2013/11/25,2186.06,2209.15,2181.42,2186.12,108282655,96747315200
2013/11/26,2184.33,2192.58,2176.18,2183.07,100460830,84536639488
2013/11/27,2181.73,2207.62,2176.85,2201.07,115384411,1.02163E+11
2013/11/28,2204.38,2234.39,2202.62,2219.37,134456777,1.19645E+11
2013/11/29,2221.62,2224.94,2212.26,2220.5,106959053,97834024960
2013/12/2,2203.12,2231.92,2172.63,2207.37,174281990,1.51936E+11
2013/12/3,2196.82,2227.92,2193.25,2222.67,113506410,1.00777E+11
2013/12/4,2219.97,2260.87,2215.92,2251.76,157292943,1.35498E+11
2013/12/5,2252.72,2255.26,2239.14,2247.06,122048414,1.05837E+11
2013/12/6,2242.56,2248.15,2228.63,2237.11,103700929,92254756864
2013/12/9,2241.79,2249.17,2231.73,2238.2,93273639,84432478208
2013/12/10,2239.86,2250.5,2231.68,2237.49,109043133,95556296704
2013/12/11,2228.63,2228.63,2193.16,2204.17,109473150,94389297152
2013/12/12,2199.32,2214.55,2194.9,2202.8,86108671,76003328000
2013/12/13,2188.26,2204.64,2183.84,2196.07,85101012,72637505536
2013/12/16,2197.23,2201.7,2159.99,2160.86,101387594,86422953984
2013/12/17,2161.54,2165.54,2146.31,2151.08,78578936,66921598976
2013/12/18,2150.41,2156.59,2142.62,2148.29,64173584,55420596224
2013/12/19,2153.67,2159.14,2126.25,2127.79,73123479,61496942592
2013/12/20,2128.37,2131.74,2082.85,2084.79,86775212,72198201344
2013/12/23,2089.54,2099.52,2068.54,2089.71,68146636,58435624960
2013/12/24,2094.07,2111.81,2079.81,2092.91,70251467,61697069056
2013/12/25,2095.02,2107.23,2088.3,2106.35,65139096,58136846336
2013/12/26,2102.66,2102.66,2070.55,2073.1,78541408,66767122432
2013/12/27,2074.59,2110.36,2069.59,2101.25,76756827,66394443776
2013/12/30,2108.88,2112.01,2095.06,2097.53,74085056,63038943232
2013/12/31,2090.68,2120.27,2087.42,2115.98,80474375,71456284672
2014/1/2,2112.13,2113.11,2101.02,2109.39,68485486,61921353728
2014/1/3,2101.54,2102.17,2075.9,2083.14,84497241,72372232192
2014/1/6,2078.68,2078.68,2034.01,2045.71,89587608,72895397888
2014/1/7,2034.22,2052.28,2029.25,2047.32,63402938,54638641152
2014/1/8,2047.26,2062.95,2037.11,2044.34,71647364,62941429760
2014/1/9,2041.77,2057.2,2026.45,2027.62,75941883,67605663744
2014/1/10,2023.54,2029.3,2008.01,2013.3,75616121,61044551680
2014/1/13,2014.98,2027.18,2000.4,2009.56,66544776,55616749568
2014/1/14,2007.16,2027.43,2001.14,2026.84,70366614,56687624192
2014/1/15,2024.23,2027.41,2010.2,2023.35,67436222,57740357632
2014/1/16,2022.54,2034.71,2014.41,2023.7,72755719,62829760512
2014/1/17,2017.52,2017.87,2001.33,2004.95,67305720,57039564800
2014/1/20,2001.89,2005.94,1984.82,1991.25,56271247,48298782720
2014/1/21,1992.02,2014.15,1992.02,2008.31,59844911,52017917952
2014/1/22,2009.97,2052.34,2008.93,2051.75,98892856,84126662656
2014/1/23,2048.33,2052.53,2039.05,2042.18,84210585,76083322880
2014/1/24,2037.67,2060.99,2034.45,2054.39,92947921,82346180608
2014/1/27,2044.27,2044.85,2029.63,2033.3,88815426,81914216448
2014/1/28,2036.4,2047.13,2026.99,2038.51,72529043,65751605248
2014/1/29,2042.18,2051.58,2039.77,2049.91,73865462,67694125056
2014/1/30,2045.93,2045.93,2031.47,2033.08,62615184,58264498176
2014/2/7,2022.32,2044.73,2014.7,2044.5,73598755,67829923840
2014/2/10,2049.98,2087.97,2049.98,2086.07,124331833,1.12723E+11
2014/2/11,2086.18,2111.06,2082.52,2103.67,142211324,1.25267E+11
2014/2/12,2103.83,2110.9,2096.51,2109.96,126333186,1.10804E+11
2014/2/13,2106.93,2122.83,2096.97,2098.4,146532634,1.24377E+11
2014/2/14,2097.32,2116.19,2095.09,2115.85,111517950,97399668736
2014/2/17,2124.88,2136.45,2117.69,2135.41,140244443,1.26214E+11
2014/2/18,2134.14,2134.14,2113.13,2119.07,142869308,1.29787E+11
2014/2/19,2116.92,2152.96,2111.17,2142.55,151261246,1.27818E+11
2014/2/20,2152.89,2177.98,2136.48,2138.78,157052276,1.30938E+11
2014/2/21,2131.59,2132.7,2098.33,2113.69,117662651,99514286080
2014/2/24,2099.72,2099.72,2058.79,2076.69,123555308,1.07202E+11
2014/2/25,2077.28,2087.62,2026.54,2034.22,140132978,1.27824E+11
2014/2/26,2026.61,2041.63,2014.38,2041.25,110112687,96117710848
2014/2/27,2045.1,2068.31,2036.39,2047.35,132163852,1.12876E+11
2014/2/28,2040.62,2058.49,2020.93,2056.3,111637907,95684075520
2014/3/3,2052.08,2078.33,2047.07,2075.23,127460891,1.04981E+11
